CDS                                                       ,dN/dS,dN,dS,Species Pair
mini.cds.fasta_GLEAN_10011017-croc.cds.fasta_GLEAN_10011017,0.3254,0.0022,0.0068,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011020-croc.cds.fasta_GLEAN_10011020,0.1048,0.001,0.0094,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011021-croc.cds.fasta_GLEAN_10011021,0.4117,0.0025,0.006,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011022-croc.cds.fasta_GLEAN_10011022,0.3164,0.0013,0.004,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011024-croc.cds.fasta_GLEAN_10011024,0.2978,0.0011,0.0036,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011026-croc.cds.fasta_GLEAN_10011026,1.155,0.0041,0.0036,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011027-croc.cds.fasta_GLEAN_10011027,0.0979,0.0005,0.005,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011028-croc.cds.fasta_GLEAN_10011028,0.219,0.0021,0.0097,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011034-croc.cds.fasta_GLEAN_10011034,0.3184,0.0011,0.0035,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011037-croc.cds.fasta_GLEAN_10011037,0.1438,0.0008,0.0057,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011043-croc.cds.fasta_GLEAN_10011043,0.3261,0.005,0.0152,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011045-croc.cds.fasta_GLEAN_10011045,0.0996,0.0012,0.0122,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011053-croc.cds.fasta_GLEAN_10011053,0.0969,0.0009,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011054-croc.cds.fasta_GLEAN_10011054,0.2559,0.0022,0.0087,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011055-croc.cds.fasta_GLEAN_10011055,0.0979,0.0007,0.0067,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011058-croc.cds.fasta_GLEAN_10011058,0.1748,0.0037,0.0213,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011059-croc.cds.fasta_GLEAN_10011059,0.0498,0.0004,0.008,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011060-croc.cds.fasta_GLEAN_10011060,0.0958,0.0012,0.0129,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011063-croc.cds.fasta_GLEAN_10011063,0.146,0.0013,0.0087,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011066-croc.cds.fasta_GLEAN_10011066,0.1057,0.001,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011067-croc.cds.fasta_GLEAN_10011067,0.2766,0.002,0.0074,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011069-croc.cds.fasta_GLEAN_10011069,0.1006,0.0008,0.0079,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011074-croc.cds.fasta_GLEAN_10011074,0.1584,0.0009,0.0055,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011075-croc.cds.fasta_GLEAN_10011075,0.1551,0.0005,0.0035,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011076-croc.cds.fasta_GLEAN_10011076,0.3226,0.0018,0.0057,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011079-croc.cds.fasta_GLEAN_10011079,0.2351,0.0028,0.0119,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011083-croc.cds.fasta_GLEAN_10011083,0.1324,0.0037,0.028,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011085-croc.cds.fasta_GLEAN_10011085,0.2639,0.004,0.0152,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011086-croc.cds.fasta_GLEAN_10011086,0.1616,0.0008,0.0047,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011087-croc.cds.fasta_GLEAN_10011087,0.1583,0.002,0.0128,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011088-croc.cds.fasta_GLEAN_10011088,0.9074,0.0075,0.0083,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011089-croc.cds.fasta_GLEAN_10011089,0.6479,0.0024,0.0036,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011091-croc.cds.fasta_GLEAN_10011091,0.9244,0.0079,0.0086,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011093-croc.cds.fasta_GLEAN_10011093,0.1531,0.0014,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011094-croc.cds.fasta_GLEAN_10011094,2.6858,0.0157,0.0058,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011095-croc.cds.fasta_GLEAN_10011095,1.1378,0.0148,0.013,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011096-croc.cds.fasta_GLEAN_10011096,0.4136,0.0049,0.0118,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011097-croc.cds.fasta_GLEAN_10011097,1.5729,0.0126,0.008,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011098-croc.cds.fasta_GLEAN_10011098,0.5015,0.016,0.032,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011100-croc.cds.fasta_GLEAN_10011100,1.5537,0.0043,0.0028,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011101-croc.cds.fasta_GLEAN_10011101,0.4684,0.0034,0.0072,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011102-croc.cds.fasta_GLEAN_10011102,0.3938,0.0055,0.014,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011103-croc.cds.fasta_GLEAN_10011103,1.8799,0.0054,0.0029,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011104-croc.cds.fasta_GLEAN_10011104,0.6279,0.006,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011105-croc.cds.fasta_GLEAN_10011105,1.1095,0.0078,0.007,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011106-croc.cds.fasta_GLEAN_10011106,0.1578,0.0027,0.017,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011107-croc.cds.fasta_GLEAN_10011107,1.2357,0.0013,0.001,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011109-croc.cds.fasta_GLEAN_10011109,0.3559,0.0032,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011111-croc.cds.fasta_GLEAN_10011111,0.2871,0.0027,0.0092,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011114-croc.cds.fasta_GLEAN_10011114,0.6296,0.0024,0.0039,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011115-croc.cds.fasta_GLEAN_10011115,0.3426,0.0012,0.0034,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011116-croc.cds.fasta_GLEAN_10011116,1.4553,0.0042,0.0029,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011117-croc.cds.fasta_GLEAN_10011117,0.0834,0.0008,0.0093,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011118-croc.cds.fasta_GLEAN_10011118,0.0923,0.0008,0.0082,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011119-croc.cds.fasta_GLEAN_10011119,0.1145,0.001,0.0083,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011120-croc.cds.fasta_GLEAN_10011120,0.1796,0.0012,0.0069,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011121-croc.cds.fasta_GLEAN_10011121,0.8902,0.0057,0.0064,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011122-croc.cds.fasta_GLEAN_10011122,0.1938,0.002,0.0101,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011128-croc.cds.fasta_GLEAN_10011128,0.6227,0.0034,0.0055,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011132-croc.cds.fasta_GLEAN_10011132,0.3328,0.0065,0.0196,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011133-croc.cds.fasta_GLEAN_10011133,0.3003,0.0009,0.003,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011135-croc.cds.fasta_GLEAN_10011135,0.8386,0.0022,0.0027,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011140-croc.cds.fasta_GLEAN_10011140,0.2844,0.0062,0.022,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011144-croc.cds.fasta_GLEAN_10011144,0.1345,0.0021,0.0158,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011148-croc.cds.fasta_GLEAN_10011148,0.5869,0.0066,0.0112,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011150-croc.cds.fasta_GLEAN_10011150,0.1597,0.004,0.0252,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011151-croc.cds.fasta_GLEAN_10011151,0.0619,0.0008,0.0125,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011156-croc.cds.fasta_GLEAN_10011156,0.297,0.0021,0.0071,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011158-croc.cds.fasta_GLEAN_10011158,0.6031,0.0012,0.002,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011160-croc.cds.fasta_GLEAN_10011160,0.1506,0.0019,0.0126,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011161-croc.cds.fasta_GLEAN_10011161,0.1111,0.0012,0.0105,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011165-croc.cds.fasta_GLEAN_10011165,0.1071,0.0006,0.0055,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011171-croc.cds.fasta_GLEAN_10011171,0.3247,0.0019,0.0058,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011172-croc.cds.fasta_GLEAN_10011172,0.4634,0.0032,0.0068,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011173-croc.cds.fasta_GLEAN_10011173,0.4707,0.0052,0.011,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011178-croc.cds.fasta_GLEAN_10011178,0.0608,0.0009,0.0155,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011179-croc.cds.fasta_GLEAN_10011179,0.2167,0.0025,0.0117,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011180-croc.cds.fasta_GLEAN_10011180,0.0681,0.0006,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011181-croc.cds.fasta_GLEAN_10011181,0.2134,0.0028,0.013,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011182-croc.cds.fasta_GLEAN_10011182,0.292,0.0051,0.0173,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011183-croc.cds.fasta_GLEAN_10011183,0.1479,0.0024,0.0159,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011184-croc.cds.fasta_GLEAN_10011184,0.3277,0.0015,0.0045,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011197-croc.cds.fasta_GLEAN_10011197,0.3708,0.0019,0.005,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011198-croc.cds.fasta_GLEAN_10011198,0.7758,0.0079,0.0102,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011200-croc.cds.fasta_GLEAN_10011200,0.1626,0.0011,0.0068,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011201-croc.cds.fasta_GLEAN_10011201,0.3434,0.0014,0.0042,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011204-croc.cds.fasta_GLEAN_10011204,0.074,0.0006,0.0085,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011206-croc.cds.fasta_GLEAN_10011206,0.1003,0.0011,0.0105,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011207-croc.cds.fasta_GLEAN_10011207,0.494,0.0073,0.0147,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011208-croc.cds.fasta_GLEAN_10011208,0.2101,0.0019,0.0091,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011210-croc.cds.fasta_GLEAN_10011210,0.0649,0.0015,0.0229,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011211-croc.cds.fasta_GLEAN_10011211,0.6994,0.0095,0.0135,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011212-croc.cds.fasta_GLEAN_10011212,0.6414,0.0061,0.0095,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011213-croc.cds.fasta_GLEAN_10011213,0.1408,0.0016,0.0113,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011214-croc.cds.fasta_GLEAN_10011214,0.2151,0.0012,0.0054,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011215-croc.cds.fasta_GLEAN_10011215,1.1731,0.003,0.0025,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011216-croc.cds.fasta_GLEAN_10011216,0.4067,0.0074,0.0182,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011219-croc.cds.fasta_GLEAN_10011219,0.1824,0.0038,0.0207,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011220-croc.cds.fasta_GLEAN_10011220,0.305,0.0016,0.0053,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011226-croc.cds.fasta_GLEAN_10011226,0.0291,0.0004,0.0146,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011228-croc.cds.fasta_GLEAN_10011228,0.315,0.0013,0.0042,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011230-croc.cds.fasta_GLEAN_10011230,0.4299,0.0046,0.0108,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011233-croc.cds.fasta_GLEAN_10011233,0.0723,0.0007,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011236-croc.cds.fasta_GLEAN_10011236,0.0777,0.0011,0.0143,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011237-croc.cds.fasta_GLEAN_10011237,0.0927,0.001,0.0107,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011240-croc.cds.fasta_GLEAN_10011240,0.1021,0.0007,0.0069,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011244-croc.cds.fasta_GLEAN_10011244,0.3189,0.0022,0.007,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011245-croc.cds.fasta_GLEAN_10011245,0.1516,0.0006,0.0038,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011248-croc.cds.fasta_GLEAN_10011248,0.0448,0.0008,0.0168,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011249-croc.cds.fasta_GLEAN_10011249,0.2581,0.0053,0.0205,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011252-croc.cds.fasta_GLEAN_10011252,0.1764,0.0017,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011253-croc.cds.fasta_GLEAN_10011253,0.2142,0.0028,0.0129,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011255-croc.cds.fasta_GLEAN_10011255,0.0816,0.0009,0.0111,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011262-croc.cds.fasta_GLEAN_10011262,0.1929,0.0024,0.0123,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011263-croc.cds.fasta_GLEAN_10011263,0.1802,0.0036,0.0201,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011264-croc.cds.fasta_GLEAN_10011264,0.0306,0.0005,0.0167,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011267-croc.cds.fasta_GLEAN_10011267,0.0654,0.0009,0.0134,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011268-croc.cds.fasta_GLEAN_10011268,0.0207,0.0002,0.0082,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011272-croc.cds.fasta_GLEAN_10011272,0.6016,0.0035,0.0059,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011275-croc.cds.fasta_GLEAN_10011275,0.2867,0.003,0.0103,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011280-croc.cds.fasta_GLEAN_10011280,0.0977,0.0004,0.0044,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011281-croc.cds.fasta_GLEAN_10011281,0.8503,0.0126,0.0148,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011285-croc.cds.fasta_GLEAN_10011285,0.0626,0.0006,0.0094,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011286-croc.cds.fasta_GLEAN_10011286,0.3108,0.0015,0.0048,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011287-croc.cds.fasta_GLEAN_10011287,4.5865,0.0461,0.0101,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011289-croc.cds.fasta_GLEAN_10011289,0.0875,0.001,0.0117,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011290-croc.cds.fasta_GLEAN_10011290,0.0761,0.0007,0.0093,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011292-croc.cds.fasta_GLEAN_10011292,0.148,0.0021,0.0144,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011293-croc.cds.fasta_GLEAN_10011293,0.1023,0.0019,0.0181,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011294-croc.cds.fasta_GLEAN_10011294,0.3013,0.0009,0.0031,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011295-croc.cds.fasta_GLEAN_10011295,0.1002,0.001,0.0102,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011297-croc.cds.fasta_GLEAN_10011297,0.238,0.0024,0.0103,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011298-croc.cds.fasta_GLEAN_10011298,0.047,0.0002,0.0051,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011299-croc.cds.fasta_GLEAN_10011299,0.1249,0.0024,0.0189,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011301-croc.cds.fasta_GLEAN_10011301,0.0436,0.0007,0.0161,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011304-croc.cds.fasta_GLEAN_10011304,0.2043,0.0009,0.0046,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011308-croc.cds.fasta_GLEAN_10011308,0.0727,0.002,0.0269,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011311-croc.cds.fasta_GLEAN_10011311,0.1257,0.0013,0.0103,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011315-croc.cds.fasta_GLEAN_10011315,0.3868,0.0038,0.0099,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011316-croc.cds.fasta_GLEAN_10011316,0.2131,0.0062,0.0293,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011318-croc.cds.fasta_GLEAN_10011318,3.1305,0.0309,0.0099,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011320-croc.cds.fasta_GLEAN_10011320,0.3022,0.003,0.0101,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011322-croc.cds.fasta_GLEAN_10011322,0.106,0.001,0.0092,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011323-croc.cds.fasta_GLEAN_10011323,0.2925,0.0018,0.006,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011329-croc.cds.fasta_GLEAN_10011329,1.8028,0.0043,0.0024,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011330-croc.cds.fasta_GLEAN_10011330,0.2472,0.0054,0.0219,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011331-croc.cds.fasta_GLEAN_10011331,0.3037,0.0023,0.0075,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011332-croc.cds.fasta_GLEAN_10011332,0.387,0.0068,0.0175,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011333-croc.cds.fasta_GLEAN_10011333,0.0867,0.001,0.0118,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011335-croc.cds.fasta_GLEAN_10011335,0.3755,0.0062,0.0165,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011336-croc.cds.fasta_GLEAN_10011336,0.0441,0.0006,0.0135,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011339-croc.cds.fasta_GLEAN_10011339,0.103,0.0012,0.0118,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011340-croc.cds.fasta_GLEAN_10011340,0.0356,0.0005,0.0133,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011341-croc.cds.fasta_GLEAN_10011341,0.6205,0.0012,0.0019,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011342-croc.cds.fasta_GLEAN_10011342,0.161,0.0015,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011343-croc.cds.fasta_GLEAN_10011343,0.0441,0.0009,0.0213,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011344-croc.cds.fasta_GLEAN_10011344,0.2884,0.0024,0.0085,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011345-croc.cds.fasta_GLEAN_10011345,0.0223,0.0002,0.0101,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011346-croc.cds.fasta_GLEAN_10011346,0.6233,0.0018,0.0029,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011347-croc.cds.fasta_GLEAN_10011347,0.1323,0.0006,0.0045,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011349-croc.cds.fasta_GLEAN_10011349,0.1153,0.0007,0.0065,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011352-croc.cds.fasta_GLEAN_10011352,0.2493,0.0026,0.0103,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011354-croc.cds.fasta_GLEAN_10011354,0.1243,0.0028,0.0229,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011355-croc.cds.fasta_GLEAN_10011355,0.0608,0.0015,0.0251,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011357-croc.cds.fasta_GLEAN_10011357,0.0771,0.0012,0.0159,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011358-croc.cds.fasta_GLEAN_10011358,0.2995,0.0016,0.0053,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011359-croc.cds.fasta_GLEAN_10011359,0.323,0.0075,0.0232,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011360-croc.cds.fasta_GLEAN_10011360,0.0963,0.0005,0.0054,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011363-croc.cds.fasta_GLEAN_10011363,0.1024,0.0026,0.025,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011365-croc.cds.fasta_GLEAN_10011365,0.052,0.0006,0.0109,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011367-croc.cds.fasta_GLEAN_10011367,0.1044,0.0022,0.0212,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011370-croc.cds.fasta_GLEAN_10011370,0.3153,0.0013,0.004,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011372-croc.cds.fasta_GLEAN_10011372,0.2132,0.0018,0.0083,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011373-croc.cds.fasta_GLEAN_10011373,0.5961,0.0025,0.0042,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011374-croc.cds.fasta_GLEAN_10011374,0.9216,0.0046,0.0049,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011376-croc.cds.fasta_GLEAN_10011376,0.0528,0.0006,0.012,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011378-croc.cds.fasta_GLEAN_10011378,0.0783,0.0008,0.0099,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011380-croc.cds.fasta_GLEAN_10011380,0.3125,0.0007,0.0023,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011383-croc.cds.fasta_GLEAN_10011383,0.0227,0.0006,0.0262,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011385-croc.cds.fasta_GLEAN_10011385,0.4703,0.005,0.0105,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011386-croc.cds.fasta_GLEAN_10011386,0.0197,0.0004,0.02,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011389-croc.cds.fasta_GLEAN_10011389,0.3241,0.0008,0.0024,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011395-croc.cds.fasta_GLEAN_10011395,0.0313,0.0006,0.0202,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011396-croc.cds.fasta_GLEAN_10011396,0.118,0.0073,0.062,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011397-croc.cds.fasta_GLEAN_10011397,0.3141,0.0014,0.0043,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011398-croc.cds.fasta_GLEAN_10011398,0.5677,0.0099,0.0175,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011399-croc.cds.fasta_GLEAN_10011399,0.1839,0.0051,0.0275,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011400-croc.cds.fasta_GLEAN_10011400,0.2086,0.0043,0.0204,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011401-croc.cds.fasta_GLEAN_10011401,0.0442,0.0008,0.0178,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011402-croc.cds.fasta_GLEAN_10011402,0.0411,0.0003,0.0083,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011403-croc.cds.fasta_GLEAN_10011403,0.1005,0.0018,0.0176,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011404-croc.cds.fasta_GLEAN_10011404,0.4339,0.0048,0.011,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011405-croc.cds.fasta_GLEAN_10011405,0.2966,0.002,0.0066,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011406-croc.cds.fasta_GLEAN_10011406,0.2956,0.001,0.0033,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011407-croc.cds.fasta_GLEAN_10011407,0.3236,0.0015,0.0047,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011412-croc.cds.fasta_GLEAN_10011412,0.9417,0.0022,0.0023,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011413-croc.cds.fasta_GLEAN_10011413,0.1416,0.0012,0.0087,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011415-croc.cds.fasta_GLEAN_10011415,0.1306,0.0023,0.0179,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011417-croc.cds.fasta_GLEAN_10011417,0.4727,0.007,0.0148,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10011418-croc.cds.fasta_GLEAN_10011418,0.2179,0.0067,0.0306,S. crocotulus-S. miniatus
